-2.063318,2.226085,12.288948
0.512239,0.272875,7.731458
3.375033,-5.586756,1.680335
6.170804,-4.179296,-1.134585
5.931440,-1.469695,-7.635712
5.854844,-5.462287,-14.960251
2.379278,-1.038840,-7.731458
1.948423,0.052660,-10.192120
2.647366,-0.406919,-11.034681
2.858006,-0.426068,-10.431483
2.503747,-0.560112,-10.642124
2.178212,-0.186704,-10.077225
1.900550,-0.043086,-10.479357
1.823954,-0.253726,-10.278291
1.938848,-0.435643,-9.713391
1.823954,-0.761178,-9.789989
1.776081,-0.923945,-9.895308
1.833528,-0.789901,-9.818711
1.890976,-0.751603,-10.192120
1.852677,-0.560112,-10.144247
1.823954,-0.713305,-9.866585
1.728208,-0.761178,-10.086800
3.279287,-0.713305,-12.336822
8.976151,-1.134585,-17.392189
3.566524,-1.249480,-19.603912
0.100533,-0.990967,-16.511330
-1.890976,-1.125011,-5.270795
-0.895221,0.952669,0.110107
1.680335,0.292024,3.001625
5.797396,1.814379,4.227169
