-2.551620,5.242072,9.789989
-2.771835,1.393099,10.345312
-0.387770,-0.655857,11.858093
2.819708,-4.753769,10.929360
6.850598,-7.645287,4.772918
8.583593,-5.136752,0.100533
7.779330,-0.809050,-1.297353
8.152739,1.910125,-2.245234
8.353804,4.744195,-1.536717
8.535721,6.362296,-0.665432
8.937852,5.615479,-0.234577
9.167642,4.121848,-0.062235
9.129343,3.997379,-0.387770
8.889979,4.533555,-0.665432
8.909128,4.370787,-0.617559
8.918703,4.246317,-0.416493
8.947427,4.504831,-0.473941
8.966576,4.504831,-0.426068
8.976151,4.437809,-0.454792
8.928278,4.514405,-0.359046
8.966576,4.389936,-0.349471
9.004874,4.409085,-0.320748
9.474028,4.926111,-0.234577
11.599580,7.980396,0.014362
12.250650,11.609155,0.000000
11.666602,10.287866,-0.665432
9.512326,7.539967,-1.201607
5.251647,3.604822,-0.426068
-0.100533,-0.703730,0.856923
-2.848432,-5.615479,2.570770
